common_name,wave1,wave2,wave3,wave4_main,wave4_alt,wave4_miss,wave5_main,wave5_alt,wave5_miss,wave6_main,wave6_alt,wave6_miss,wave7_main,wave7_alt,wave7_miss,rq_recode,rq_cal,drop_after_step,label,class,memo
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
resid_birth_gengo,,,,,,,,,,j6v017,,,,J7P022,,,,,,,
resid_birth_year,,,,,,,,,,j6v018,,,,J7P023,,,,,,,
resid_birth_month,,,,,,,,,,j6v019,,,,J7P024,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
age_self_rep,,,,,,,,,,j6v016,,,,,,,,,,,
resid_age,,,,,,,,,,,,,,J7P025,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
marital_status,,,,,,,,,,j6v030,J6P027,,,J7P027,,,,,現在の婚姻状態(配偶者ありでも別居はありうる),1-5,
num_hh_member,,,,,,,,,,j6v091,J6P029,,,,,,,,世帯の人数(回答者も含んだ人数)　※別変数で年齢・性別・続柄のみあり,,
,,,,,,,,,,,,,,,,,,,,,
house,,,,,,,,,,j6v377,,,,,,,,,住居の形態　※他の変数にもう少しだけ詳細あり,1-5,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
couple_income,,,,,,,,,,j6v400,,,,,,,,,夫婦の年収(仕送り・年金込み)　※内訳の詳細も他の変数であり,1-6(2000万以上),
couple_assets,,,,,,,,,,j6v451,,,,,,,,,夫婦の資産(貯蓄・金融資産),1-7(5000万以上),
hh_income,,,,,,,,,,j6v429,J6P122,,,,,,,,世帯年収(仕送り・年金込み),1-6(2000万以上),
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
subjective_health,,,,,,,,,,j6v229,J6P116,,,,,,,,主観的健康度(altは回答者から見て),43470,
subjective_health_compare,,,,,,,,,,j6v230,,,,,,,,,同年代と比べて健康状態が良いと思うか,,
subjective_health_change,,,,,,,,,,j6v231,,,,,,,,,1年前と比べて健康状態がどう変化したと思うか,,
,,,,,,,,,,,,,,,,,,,,,
is_advised,,,,,,,J5V216,,,,,,,,,,,,公的サービスについて詳しく知りたいと思ったときに相談できる人がいるか,,
who_advised_1,,,,,,,J5V217,,,,,,,,,,,,公的サービスについて一番相談できる相手,,
who_advised_1_ch_id,,,,,,,J5V218,,,,,,,,,,,,who_advised_1が子ども(やその配偶者)の場合、どの子どもか,,
who_advised_2,,,,,,,J5V219,,,,,,,,,,,,公的サービスについて2番目に相談できる相手,,
who_advised_2_ch_id,,,,,,,J5V220,,,,,,,,,,,,who_advised_2が子ども(やその配偶者)の場合、どの子どもか,,
,,,,,,,,,,,,,,,,,,,,,
youkaigo_shinsei,,,,,,,,,,j6v187,J6P085,,,,,,,,要介護申請をしたことがあるか,43467,
